Proclass,Supplier,Directorate,Cost Centre,Account Code,Transaction Date,Amount
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1003.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1003.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1003.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1619.75
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1619.75
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1619.75
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1619.75
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,720.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,720.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,720.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,720.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,592
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,592
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,592
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,592
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,649
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,649
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,649
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,649
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1557.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1557.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1557.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1557.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2011.98
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2011.98
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2011.98
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2011.98
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,836.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,836.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,836.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,836.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,557.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,557.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,557.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,557.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,890.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,890.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,890.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,890.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1166.91
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1166.91
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1166.91
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1166.91
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,-2372.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,2372.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,7266.96
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,552.83
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,552.83
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,552.83
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,552.83
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1100.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1100.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1100.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1100.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,528.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,528.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,528.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,528.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1671.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1671.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1671.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1671.99
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1017.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1017.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1017.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1017.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2100
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2100
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2100
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2100
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,753.37
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,753.37
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,753.37
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,753.37
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,729.12
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,729.12
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,729.12
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,729.12
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,802.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,802.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,802.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,802.4
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1812.79
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1812.79
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1812.79
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,1812.79
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,704.94
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,704.94
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,704.94
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,704.94
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,MH Direct Payments,Client Support,12/01/2021,750
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,MH Direct Payments,Client Support,12/01/2021,750
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,MH Direct Payments,Client Support,12/01/2021,750
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,MH Direct Payments,Client Support,12/01/2021,750
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,650.25
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,650.25
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,650.25
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,650.25
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,900.28
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,900.28
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,900.28
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,900.28
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,777.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,777.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,777.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,777.6
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1479.16
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1479.16
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1479.16
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1479.16
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,MH Direct Payments,Client Support,12/01/2021,711.64
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,825.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,825.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,825.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,825.04
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,708
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,708
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,708
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,708
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,550
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,550
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,550
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,550
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,553.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,553.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,553.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,553.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1970.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1970.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1970.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1970.9
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,-1071.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,1071.36
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,769.69
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,769.69
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,769.69
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,769.69
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,532.56
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,532.56
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,532.56
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,PI Direct Payments,Client Support,12/01/2021,532.56
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,1445.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,1294.52
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,997.5
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,-1846.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,12/01/2021,2773.8
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,12/01/2021,1078.7
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,561.19
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,520.46
Adults,REDACTED PERSONAL DATA,People,LD Direct Payments,Client Support,06/01/2021,1897.26
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,519
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,9289.06
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,692.15
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,603.38
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,733.98
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,670.8
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,603.38
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,692.15
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,519
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,542.14
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,542.14
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,585.51
Foster Care,REDACTED PERSONAL DATA,People,Internal Fostering Fees,Client Support,06/01/2021,607.2
Foster Care,REDACTED PERSONAL DATA,People,Connected Persons Fees,Client Support,06/01/2021,715.63
Social Community Care Supplies & Services,REDACTED PERSONAL DATA,People,OP Direct Payments,Client Support,25/08/2020,796.5
Protective Clothing,Berendsen UK Ltd,Place,Fleet Services,"Clothing, Uniform and Laundry",01/01/2021,1121.27
Laundry Service,Berendsen UK Ltd,People,PSI ASC Commissioning,"Clothing, Uniform and Laundry",01/10/2020,2882.97
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",03/01/2021,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Health & Safety,Interserve FS (UK) Ltd,Place,Streetpride City Centre,"Clothing, Uniform and Laundry",30/11/2020,699.55
Postage,Neopost Ltd,People,Post and Fastprint,Comms - Postages,28/12/2020,41952.08
Postage,Purchase Power,People,Post and Fastprint,Comms - Postages,16/01/2021,15036.48
Postage,Purchase Power,People,Post and Fastprint,Comms - Postages,16/12/2020,20243.32
Postage,Royal Mail,Place,Domestic Refuse,Comms - Postages,21/12/2020,49986.68
Postage,Royal Mail,People,Post and Fastprint,Comms - Postages,23/11/2020,630
Mobile Phones,EE Ltd,People,ICT User Support,Comms - Telephone,08/01/2021,10830.76
Mobile Phones,EE Ltd,People,ICT User Support,Comms - Telephone,08/12/2020,9421.54
Fixed Telecommunications,Gamma Business Communications Limited,People,ICT Network Services,Comms - Telephone,11/01/2021,2392.39
Airwave - Telecommunications,Tunstall Healthcare (UK) Ltd,Place,ESU – Emergency Services Unit,Comms - Telephone,13/01/2021,969.25
Software,Access Intelligence Media & Communications Ltd,People,ICT Systems,Computing -  Software,30/11/2020,9405
Software,Alphatec,People,ICT Systems,Computing -  Software,02/11/2020,9502.33
ICT Maintenance & Support,Capita Business Services Ltd,Place,Revenues - Ctax and NNDR collection team,Computing -  Software,13/01/2021,17950
ICT Maintenance & Support,Careworks Ltd,People,ICT Systems,Computing -  Software,16/12/2020,132858
Software,Civica UK Ltd,People,Housing Options - Homelessness Administration,Computing -  Software,28/11/2020,16400
Software,Clockwork IT Limited,Place,CPR5666 Commercial Property (exceptional items),Computing -  Software,28/09/2020,4540
Software,Dell Corporation Ltd,People,ICT Schools and Academies SLA,Computing -  Software,08/01/2021,3152.66
Software,EBI Solutions Limited,People,Customer Services Centre,Computing -  Software,05/01/2021,5000
Software,First Capital Cashflow Plc,People,ICT Systems,Computing -  Software,31/12/2020,34500
ICT Maintenance & Support,Green Rewards Ltd T/A Jump,Place,DEFRA Recycling Champions,Computing -  Software,23/12/2020,770.83
Software,Hable Education Ltd,People,ICT Architecture,Computing -  Software,01/01/2021,7200
Software,Insight Direct (UK) Ltd,People,ICT Architecture,Computing -  Software,25/01/2021,2412
ICT Maintenance & Support,Insight Direct (UK) Ltd,People,ICT Data Centre Services,Computing -  Software,18/01/2021,4111.17
ICT Maintenance & Support,Insight Direct (UK) Ltd,People,ICT Architecture,Computing -  Software,12/01/2021,145149.49
Software,Me Learning Ltd,People,ICT Systems,Computing -  Software,21/12/2020,25500
Software,Prosperon Networks Ltd,People,ICT Network Services,Computing -  Software,15/01/2021,10868.03
Software,Stanley Security Solutions Ltd,People,ICT & Digital,Computing -  Software,12/01/2021,7640.64
Software,Start Software,Place,Corporate Property Management,Computing -  Software,23/12/2020,2250
Software,Twinkl Ltd,People,Children´s Sensory Support Service,Computing -  Software,16/12/2020,1389.34
Software,Unit4 Business Software Ltd,People,ICT Systems,Computing -  Software,15/06/2020,-116091.93
Software,Unit4 Business Software Ltd,People,ICT Systems,Computing -  Software,15/06/2020,-18884.37
Software,Unit4 Business Software Ltd,People,ICT Systems,Computing -  Software,15/06/2020,-9049.17
Software,Unit4 Business Software Ltd,People,ICT Systems,Computing -  Software,15/06/2020,-876.64
Software,Unit4 Business Software Ltd,People,ICT Systems,Computing -  Software,15/06/2020,149964.69
Software,Wireless CCTV Ltd,Place,Urban Traffic Control,Computing -  Software,27/01/2021,17080
ICT Consultancy,CityFibre Ltd,People,ICT Network Services,Computing - Infrastructure,21/12/2020,5720
ICT Consultancy,Glide Business Ltd,People,ICT Network Services,Computing - Infrastructure,01/01/2021,13000
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,01/01/2021,2720.68
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,01/10/2020,2720.68
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,01/07/2020,2720.68
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,01/04/2020,2720.68
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,03/02/2020,5441.36
ICT Consultancy,Vodafone Ltd,People,ICT Security,Computing - Infrastructure,01/07/2019,3447.12
ICT Hardware,CDEC Ltd,People,Coventry Extended Learning Centre,Computing - IT Hardware,21/12/2020,2250
ICT Hardware,CDW Ltd,People,ICT User Support,Computing - IT Hardware,14/01/2021,2975
ICT Hardware,CDW Ltd,People,ICT User Support,Computing - IT Hardware,06/01/2021,5584.5
ICT Hardware,CDW Ltd,People,COVID19 - Lateral Flow Testing,Computing - IT Hardware,29/12/2020,21901.44
ICT Hardware,CDW Ltd,People,COVID19 - Lateral Flow Testing,Computing - IT Hardware,16/12/2020,822.5
ICT Hardware,CDW Ltd,People,COVID19 - Lateral Flow Testing,Computing - IT Hardware,15/12/2020,30662.79
ICT Hardware,Dell Corporation Ltd,People,ICT Schools and Academies SLA,Computing - IT Hardware,14/01/2021,1590
ICT Hardware,Dell Corporation Ltd,People,ICT Schools and Academies SLA,Computing - IT Hardware,08/01/2021,1503
Conferences,Guy Shennan Associates,People,Coventry Extended Learning Centre,Conference Expenses,13/01/2021,895
Highways Construction,Balfour Beatty Living Places Ltd,Place,Urban Traffic Control,Construction,13/01/2021,2411.28
Highways Construction,Balfour Beatty Living Places Ltd,Place,Public Realm Projects,Construction,12/01/2021,943.1
Highways Construction,Balfour Beatty Living Places Ltd,Place,Public Realm Projects,Construction,25/12/2020,16019.24
Highways Construction,Buckingham Group Contracting Ltd,Place,International Transport Museum Project,Construction,31/12/2020,123048.42
Open Spaces Construction,Eurovia Infrastructure Ltd,Place,Public Realm Projects,Construction,30/11/2020,1074278.53
Highways Construction,Event Support Team Ltd,Place,Cycling Projects,Construction,12/10/2020,1450.68
Highways Construction,Event Support Team Ltd,Place,Cycling Projects,Construction,12/10/2020,6928.35
Highways Construction,Event Support Team Ltd,Place,Cycling Projects,Construction,05/10/2020,6928.35
Buildings Construction,First Trenitalia West Coast Rail Ltd,Place,Strategic Transportation,Construction,13/01/2021,900
Buildings Construction,Friargate Coventry Development Ltd,Place,Coventry City Centre Regeneration,Construction,26/01/2021,2000000
Buildings Construction,Friargate Coventry Development Ltd,Place,Coventry City Centre Regeneration,Construction,06/01/2021,1497066
Buildings Construction,Friargate Coventry LLP,Place,Kickstart Project,Construction,27/01/2021,100000
Buildings Construction,Friargate Coventry LLP,Place,Kickstart Project,Construction,08/01/2021,532630.03
Buildings Construction,G F Tomlinson Building Ltd,People,"Education Capital, Planning & Development",Construction,11/01/2021,107526.34
Buildings Construction,Harris Sign Group Limited – In Administration,Place,Car Parks,Construction,30/09/2020,3616
Buildings Construction,IDP Cost Consultants Limited,People,"Education Capital, Planning & Development",Construction,31/12/2020,843.75
Buildings Construction,Midland Conservation Ltd,Place,London Road Cemetery,Construction,04/01/2021,139208.37
Buildings Construction,NG Bailey Ltd,Place,National Battery Manufacturing Development Facility - Faraday Challenge,Construction,22/01/2021,513892.9
Grants,Anjuman Ltd,People,MH ASC Commissioning,Core Funding (Grants) to external bodies,01/01/2021,12257.5
Grants,Birmingham Inst For The Deaf,People,PSI ASC Commissioning,Core Funding (Grants) to external bodies,01/01/2021,22584
Grants,Citizens Advice Bureau,People,Advice Centres,Core Funding (Grants) to external bodies,11/01/2021,63831.74
Grants,Coventry Independent Advice Service Ltd,People,Advice Centres,Core Funding (Grants) to external bodies,11/01/2021,80571.75
Grants,Coventry Law Centre,People,Advice Centres,Core Funding (Grants) to external bodies,11/01/2021,107431.53
Grants,Coventry Mind,People,MH ASC Commissioning,Core Funding (Grants) to external bodies,05/01/2021,242005.75
Grants,Earlsdon Carnegie Community Library,People,People Directorate Programme Team,Core Funding (Grants) to external bodies,14/01/2021,550
Grants,FLAG (Finham Library Action Group),People,People Directorate Programme Team,Core Funding (Grants) to external bodies,04/01/2021,1973.38
Grants,GRAIN Projects CIC,Place,Culture and Leisure - Grants and Contract payments,Core Funding (Grants) to external bodies,24/01/2021,9040
Grants,Rose Community Centre Ltd,People,Community Development Service,Core Funding (Grants) to external bodies,21/01/2021,1880
Grants,Sky Blues in the Community,Place,Sports Development,Core Funding (Grants) to external bodies,31/12/2020,9750
Grants,Sky Blues in the Community,Place,Sports Development,Core Funding (Grants) to external bodies,31/12/2020,9750
Grants,Sky Blues in the Community,Place,Sports Development,Core Funding (Grants) to external bodies,31/12/2020,9750
