Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2,Description 3
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",153165.89,23/12/2020,30842806,TPP - Payments to Health Authorities,CCHP & Disabled Children Support, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",-0.01,23/12/2020,30842806,TPP - Payments to Health Authorities,CCHP & Disabled Children Support, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",229.01,23/12/2020,92406865,TPP - Residential Care,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1603.08,23/12/2020,92406865,TPP - Residential Care,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1603.08,23/12/2020,92406865,TPP - Residential Care,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",492.86,23/12/2020,92406864,TPP - Nursing care,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1314.29,23/12/2020,92406864,TPP - Nursing care,MI North A - Learning Disability Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",343.52,23/12/2020,92406864,TPP - Nursing care,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",916.05,23/12/2020,92406864,TPP - Nursing care,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1030.55,23/12/2020,92406865,TPP - Residential Care,MI South E - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2300,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",772.94,23/12/2020,92406865,TPP - Residential Care,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",883.36,23/12/2020,92406865,TPP - Residential Care,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1150,23/12/2020,92406864,TPP - Nursing care,MI North A - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",985.71,23/12/2020,92406864,TPP - Nursing care,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2135.71,23/12/2020,92406864,TPP - Nursing care,MI North A - Mental Health Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",657.14,23/12/2020,92406864,TPP - Nursing care,MI North A - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",4980,01/12/2020,92389413,TPP - Direct Payments for Children,Direct Payments, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",10305.76,16/12/2020,30844887,TPP - Home Care,MI North A - Sensory Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",2081.34,16/12/2020,30844887,TPP - Home Care,MI North A - Sensory Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Bristol Community Transport,1038,17/12/2020,30851688,Hire of Buses,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1545.88,11/12/2020,92398032,TPP - Residential Care,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",343.52,11/12/2020,92398031,TPP - Nursing care,MI North A - Support with Memory & Cognition 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",1603.08,11/12/2020,92398031,TPP - Nursing care,MI South D - Social Support: Support for Isolation/Other, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,"Bristol, North Somerset and South Gloucestershire CCG",331.26,11/12/2020,92398032,TPP - Residential Care,MI North B - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Bristol Charities (Main Account),1494.96,16/12/2020,92403812,TPP - Payments to voluntary groups,Supporting People General - Vol Orgs, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Wellsway Multi Academy Trust,18967.7,15/12/2020,92398927,Payments to BCC-Maintained Schools/Children's Centres,Schools Block: Payment Holding Code, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,840,23/12/2020,30847514,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,422.8,21/12/2020,30852169,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,630,21/12/2020,30851328,TPP - B&B payments to landlords,MI North C - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,457.8,22/12/2020,30852041,Accommodation Costs,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,548.8,14/12/2020,30849904,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,422.8,14/12/2020,30849889,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,548.8,14/12/2020,30849647,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,4385.2,23/12/2020,30847518,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1442,23/12/2020,30847520,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,6866.9,23/12/2020,30847517,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2790.9,23/12/2020,30847519,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2790.9,23/12/2020,30845894,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1051.4,23/12/2020,30845895,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1051.4,23/12/2020,30847524,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1617.8,23/12/2020,30847522,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,1713.19,22/12/2020,92405375,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,966.21,22/12/2020,92405374,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,1004.21,22/12/2020,92405376,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,523.5,21/12/2020,92404368,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,1761.91,22/12/2020,92404774,R&M - Departmental response (external),Response Repairs, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,1180,22/12/2020,92404714,R&M - Departmental response (external),Response Repairs, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,7978.89,21/12/2020,92405101,"Conversion, Renovation & Improvement",Capital - Planned Programme,Planned Programme - Roofs Replacement
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,7991.33,21/12/2020,92405104,"Conversion, Renovation & Improvement",Capital - Planned Programme,Planned Programme - Roofs Replacement
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,7991.33,21/12/2020,92405105,"Conversion, Renovation & Improvement",Capital - Planned Programme,Planned Programme - Roofs Replacement
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,496.85,23/12/2020,92406748,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,1224.72,23/12/2020,92406667,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,834.52,23/12/2020,92406668,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,452.37,23/12/2020,92406746,R&M - Departmental planned (external),External Maintenance & Painting – Low Rise, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,2360,14/12/2020,92398723,R&M - Departmental response (external),Response Repairs, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,520,07/12/2020,92394558,R&M - Departmental response (external),M&E Response Repairs - General, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashcroft Services Ltd,3399.12,07/12/2020,92395024,"Conversion, Renovation & Improvement",Capital - Planned Programme,Fire Door Replacement Works
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,10/12/2020,30849005,TPP - B&B payments to landlords,MI North C - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,01/12/2020,30846641,TPP - B&B payments to landlords,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,31/12/2020,30854553,TPP - B&B payments to landlords,MI North B - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,31/12/2020,30854556,TPP - B&B payments to landlords,MI North A - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,31/12/2020,30854557,TPP - B&B payments to landlords,MI North C - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,31/12/2020,30854631,TPP - B&B payments to landlords,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,5990,18/12/2020,30848853,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,09/12/2020,30849000,TPP - B&B payments to landlords,MI North B - Mental Health Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Ashley Guest House Ltd,490,24/12/2020,30854023,TPP - B&B payments to landlords,MI South D - Physical Support 18-64, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Always Precious Ltd,2705,10/12/2020,30849400,Services - Supplies and Services to service users,Direct Payments, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,3663,22/12/2020,30846236,Contract Cleaning,Cleaning Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,1299,22/12/2020,30846236,Contract Cleaning,Cleaning Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,1447,09/12/2020,30846237,Contract Cleaning,Cleaning Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,1323,09/12/2020,30846237,Contract Cleaning,Cleaning Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,2224,09/12/2020,30846237,Contract Cleaning,Cleaning Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,290,16/12/2020,30845140,R&M - Departmental planned (external),BMAG, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,235,16/12/2020,30845140,R&M - Departmental planned (external),Red Lodge, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Apollo Cleaning Solutions,155,16/12/2020,30845140,R&M - Departmental planned (external),Georgian House, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3270.4,23/12/2020,30847523,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,11642.8,23/12/2020,30847502,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,4218,23/12/2020,30845916,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1006.6,23/12/2020,30845923,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3324.3,23/12/2020,30849585,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2145.5,23/12/2020,30849601,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2758,23/12/2020,30847513,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,6774.6,23/12/2020,30849600,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,5275.6,23/12/2020,30851955,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,430.5,23/12/2020,30851958,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3324.3,23/12/2020,30851891,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1558,23/12/2020,30851892,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,470.4,23/12/2020,30849590,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,676.6,23/12/2020,30851904,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2423,23/12/2020,30851903,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,912,23/12/2020,30849588,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2737.6,23/12/2020,30849587,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1703.6,23/12/2020,30849593,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3724,23/12/2020,30849592,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2790.9,23/12/2020,30852027,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3724,23/12/2020,30851897,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,548.8,23/12/2020,30851896,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1051.4,23/12/2020,30852029,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,840,23/12/2020,30845893,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1486.8,23/12/2020,30847492,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1216,23/12/2020,30847489,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3273.9,23/12/2020,30847487,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1737.4,23/12/2020,30845890,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,508.2,23/12/2020,30845888,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,4554.8,23/12/2020,30845910,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1278.2,23/12/2020,30845912,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,11235,23/12/2020,30845913,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2230.2,23/12/2020,30847506,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1667.4,23/12/2020,30845965,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1465.8,23/12/2020,30845914,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1983.4,23/12/2020,30847510,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1006.6,23/12/2020,30847508,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2107.5,23/12/2020,30847511,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1666,23/12/2020,30851947,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,6359.8,23/12/2020,30849643,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2790.9,23/12/2020,30849645,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,840,23/12/2020,30849642,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,6290.8,23/12/2020,30849597,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2230.2,23/12/2020,30849598,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,11788,23/12/2020,30849595,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1808.1,23/12/2020,30851906,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,2758,23/12/2020,30851907,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,430.5,23/12/2020,30849927,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1895.4,23/12/2020,30849604,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1051.4,23/12/2020,30849610,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,6546.8,23/12/2020,30851937,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1503.8,23/12/2020,30849625,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,3261.8,23/12/2020,30849629,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,1278.2,23/12/2020,30849621,TPP - B&B payments to landlords,Interim Supported Housing, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,840,03/12/2020,30847424,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,548.8,03/12/2020,30847419,TPP - B&B payments to landlords,Families in Focus Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,490,07/12/2020,30848283,TPP - Accommodation Based Support,East Central Social Work Team, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Connolly & Callaghan Ltd T/A Bristol Family Housing,420,07/12/2020,30845980,TPP - Accommodation Based Support,Asylum Seekers-Asylum & Immigration, 
